from_id,to_id,is_connector,funcclass,lanes,speed,length,alpha,beta,Q
20656:2869752,20656:2869738,f,7,1.0,40,55.8862983744155,0.7,4,600
2:456163,11158:99084,f,7,1.0,50,35.9056505787014,0.7,4,600
2:456563,2:456592,f,7,1.0,50,97.5085317638338,0.7,4,600
11155:30856,2:3708136,f,5,2.0,50,61.0860033411506,0.6,5,1200
2:456906,2:456969,f,5,2.0,50,221.641357476377,0.6,5,1200
11178:6063,2:3709190,f,7,1.0,30,1.83698149158224,0.7,4,600
12843:1078,1:200300100,f,5,2.0,70,16.0107514406144,0.6,5,1200
20656:2876201,20656:2876205,f,7,1.0,50,193.607345662644,0.7,4,600
2:447470,2:447791,f,3,2.0,90,949.632529415431,0.5,6,1800
2480C1170,20656:2858872,t,7,1.0,30,100.0,0.7,4,600
2:445420,2:3706560,f,5,2.0,70,45.4694987107482,0.6,5,1200
20656:2878859,20656:2878841,f,7,1.0,40,23.3414685697947,0.7,4,600
2:457265,2:457269,f,7,1.0,40,43.2559607069288,0.7,4,600
2:457887,2:3710304,f,4,2.0,50,65.4230464574628,0.6,5,1200
2:442505,2:3712425,f,7,1.0,70,204.034838055225,0.7,4,600
20656:2836210,2:456137,f,7,1.0,30,9.7022841124058,0.7,4,600
12847:4542,12843:13812,f,0,1.0,110,228.959283812562,0.4,8,2000
2:448648,2:448629,f,7,1.0,50,82.6560132280348,0.7,4,600
10016:318268,10016:318266,f,5,1.0,70,67.4891492951216,0.6,5,1200
2:453844,2:3708637,f,4,2.0,70,321.254520284703,0.6,5,1200
2:456002,20656:2836402,f,7,1.0,30,11.2849428000849,0.7,4,600
2:460485,2:460532,f,7,1.0,50,150.68438908994,0.7,4,600
2:448919,2:448861,f,3,2.0,80,128.027656210081,0.5,6,1800
2:446698,2:446692,f,7,1.0,50,59.2519067399669,0.7,4,600
20656:2867302,2:455049,f,7,1.0,30,52.4648374633849,0.7,4,600
20656:376397,20656:2860846,f,7,1.0,30,103.009200791363,0.7,4,600
16593:48403,10446:292,f,0,1.0,70,2322.07804778223,0.4,8,2000
2:453780,2:453853,f,7,1.0,70,451.545452833216,0.7,4,600
2:452684,22846:701,f,4,2.0,70,20.4782542276966,0.6,5,1200
11154:89055,11154:89061,f,4,1.0,70,18.2556113565599,0.6,5,1200
20656:2874892,20656:2874890,f,7,1.0,30,64.6531384558977,0.7,4,600
2:456775,2:3709805,f,7,1.0,30,43.9024282265918,0.7,4,600
2:3710905,2:459811,f,7,1.0,30,36.1667167433653,0.7,4,600
20656:341353,20656:341351,f,7,1.0,30,35.4748932909796,0.7,4,600
2:456258,11158:99249,f,7,1.0,50,54.3629659694269,0.7,4,600
2:3708614,20656:2890064,f,7,1.0,40,33.2760909616926,0.7,4,600
11160:43034,1:200300100,f,5,2.0,70,106.331132411287,0.6,5,1200
2:460358,11180:989,f,7,1.0,40,89.2436486639526,0.7,4,600
20656:2830956,2:456865,f,7,1.0,40,10.6747899274359,0.7,4,600
2:452817,2:452946,f,5,2.0,70,323.022174866155,0.6,5,1200
2:455419,11178:1800,f,3,2.0,40,7.34564809933474,0.5,6,1800
2:461211,2:3711345,f,4,2.0,70,477.542819488096,0.6,5,1200
12734:214731,12734:112022,f,5,2.0,70,119.745483403785,0.6,5,1200
19328:1130,2:462357,f,7,1.0,30,38.9792462092713,0.7,4,600
20656:359902,20656:2868775,f,7,1.0,50,8.71639449530308,0.7,4,600
2:455392,2:455384,f,7,1.0,30,118.589844386762,0.7,4,600
2:449568,11155:157162,f,7,1.0,70,241.81515302375,0.7,4,600
2:455119,2:455078,f,7,1.0,40,131.403451191524,0.7,4,600
2:446827,2:446747,f,7,1.0,70,637.044828249345,0.7,4,600
2:3709411,20656:2830671,f,7,1.0,30,115.507738288805,0.7,4,600
2:462344,2:462291,f,7,1.0,30,95.1837094727615,0.7,4,600
20656:2828523,2:459812,f,7,1.0,30,191.098507698945,0.7,4,600
2:455209,2:455411,f,4,2.0,70,361.808814561737,0.6,5,1200
2:456175,2:456172,f,7,1.0,40,27.1989587777869,0.7,4,600
20656:2874404,16669:27616,f,1,1.0,70,68.0739925330674,0.4,8,2000
10027:778820,2:3709893,f,4,2.0,80,357.487360224711,0.6,5,1200
20656:2858998,20656:2858984,f,4,2.0,40,269.601036644099,0.6,5,1200
20656:2867284,2:454878,f,7,1.0,30,58.6643337130824,0.7,4,600
19317:17686,19317:17684,f,7,1.0,30,45.4243202274233,0.7,4,600
2:3710106,22846:785,f,5,2.0,70,222.961110658972,0.6,5,1200
2:453909,2:453927,f,7,1.0,30,137.079758329789,0.7,4,600
12727:131087,2:457692,f,5,2.0,50,14.2531363515417,0.6,5,1200
20656:2866442,2:459597,f,7,1.0,30,26.5291606938666,0.7,4,600
2:444858,2:3706412,f,5,2.0,70,10.1210258866639,0.6,5,1200
20656:2872150,16587:25345,f,7,1.0,50,100.60013037737,0.7,4,600
2:460329,2:460301,f,7,1.0,30,79.599741358618,0.7,4,600
2:458384,2:458305,f,5,2.0,50,219.036696678044,0.6,5,1200
10747:2050,10747:2076,f,0,1.0,100,1136.2046856813,0.4,8,2000
2:455768,2:455780,f,4,2.0,50,108.754542525597,0.6,5,1200
10017:21227,10017:21241,f,7,1.0,30,32.9893850053868,0.7,4,600
11154:13167,2:3707815,f,4,2.0,70,632.071910911163,0.6,5,1200
2:3709434,2:455753,f,7,1.0,30,101.36246967262,0.7,4,600
10027:777261,2:456010,f,7,1.0,40,28.039525379949,0.7,4,600
2:448629,2:448689,f,7,1.0,50,234.164361101109,0.7,4,600
10446:324,16593:48425,f,0,1.0,70,17.9395771687758,0.4,8,2000
2:3711707,20656:2824087,f,7,1.0,30,57.8364747463433,0.7,4,600
20661:900,20661:811,f,7,1.0,50,69.5037187788183,0.7,4,600
2:462078,16590:15707,f,7,1.0,70,1341.27146288488,0.7,4,600
16669:27362,12734:47841,f,5,1.0,50,21.6210530300922,0.6,5,1200
11178:6429,2:455737,f,4,2.0,70,61.5799122197893,0.6,5,1200
2:3707107,2:3706919,f,7,1.0,50,52.0141639489378,0.7,4,600
2:462689,2:3711750,f,7,1.0,50,135.453001214336,0.7,4,600
2:449635,2:449280,f,4,2.0,70,1247.00998875246,0.6,5,1200
12850:36,11178:3256,f,7,1.0,30,35.2512482658829,0.7,4,600
2:459226,18931:170327,f,7,1.0,70,192.707872829242,0.7,4,600
10446:385,10446:377,f,0,1.0,110,53.9709004420259,0.4,8,2000
2:456490,2:456435,f,7,1.0,30,132.589682339334,0.7,4,600
2:456137,20656:2836210,f,7,1.0,30,9.7022841124058,0.7,4,600
2:446623,2:3706788,f,7,1.0,50,78.1945690674974,0.7,4,600
2:3711005,2:460141,f,7,1.0,30,255.257743687894,0.7,4,600
2:456189,1:200304003,f,5,1.0,40,148.389628716261,0.6,5,1200
2:447955,2:447903,f,5,2.0,70,254.630599372295,0.6,5,1200
2:3710409,2:3710410,f,4,2.0,80,37.2800911654094,0.6,5,1200
16665:10247,11154:7557,f,7,1.0,30,12.0208920222375,0.7,4,600
2:451872,2:451798,f,7,1.0,30,77.4327229277002,0.7,4,600
2:3711108,16594:17507,f,7,1.0,30,44.6731095460214,0.7,4,600
2:451872,20656:2874802,f,7,1.0,30,200.583547032835,0.7,4,600
11178:5178,11178:5162,f,7,1.0,30,8.1795154503444,0.7,4,600
2:453761,20656:2871072,f,7,1.0,40,16.0295274068448,0.7,4,600
2:461181,16593:46293,f,4,2.0,50,193.741058132346,0.6,5,1200
20656:341239,20656:341237,f,7,1.0,40,156.498827875159,0.7,4,600
18931:160934,2:441612,f,7,1.0,70,753.677887659809,0.7,4,600
2:3707652,12843:13827,f,4,2.0,50,38.8630345933954,0.6,5,1200
20656:2852831,2:456992,f,7,1.0,30,62.6371487536113,0.7,4,600
12847:4536,12847:4533,f,0,1.0,110,468.158936992846,0.4,8,2000
16669:27753,11158:93263,f,0,2.0,80,18.6962528251159,0.4,8,2000
2:460324,2:3711094,f,7,1.0,70,92.2938044658189,0.7,4,600
2:453152,2:453103,f,7,1.0,30,177.254985012685,0.7,4,600
2:3709818,20656:2108412,f,7,1.0,40,22.2440420338057,0.7,4,600
2:453368,12727:131070,f,4,2.0,50,41.9375694338563,0.6,5,1200
2:453648,2:3708697,f,7,1.0,40,18.0006434523089,0.7,4,600
2:456751,2:456810,f,7,1.0,30,147.043427505455,0.7,4,600
2:461879,2:461904,f,7,1.0,50,80.1187625097517,0.7,4,600
2480C1060,2:456356,t,7,1.0,30,100.0,0.7,4,600
2:459629,2:3710882,f,7,1.0,30,243.0259529821,0.7,4,600
2:456783,11178:9571,f,7,1.0,40,35.2970658267638,0.7,4,600
2:448656,2:448651,f,7,1.0,50,101.296082026309,0.7,4,600
20656:859982,20656:859984,f,7,1.0,50,50.4108861358608,0.7,4,600
